5327.56543,-4.30233,3.67739,119.7327,53.81424,339.27698,5.02931,769.55243
5286.5332,-4.29997,3.67739,119.75966,53.85956,337.51263,5.0562,771.7879
5300.55957,-4.33181,3.67739,119.78312,53.81375,338.74323,5.02995,769.78723
5339.12695,-4.31269,3.67739,119.77499,53.85384,338.49698,5.0349,768.78644
5329.33789,-4.29273,3.67739,119.76293,53.8932,339.25989,4.99404,766.82281
5297.98535,-4.30437,3.67739,119.76497,53.94077,338.65335,5.04955,771.20569
5294.56348,-4.32191,3.67739,119.76944,53.92777,337.54889,5.05351,771.2865
5359.02637,-4.31051,3.67739,119.76729,53.92066,340.02118,5.02214,769.71478
5337.49268,-4.316,3.67739,119.7399,53.93253,340.16656,5.01649,768.94214
5256.54443,-4.28286,3.67739,119.74284,53.94745,338.80792,5.04126,770.45917
5310.95898,-4.29072,3.67739,119.73587,54.00573,338.64508,5.03834,770.24133
5361.1958,-4.32336,3.67739,119.75244,54.00665,340.92316,5.03356,769.87738
5388.75293,-4.33895,3.67739,119.73551,54.07274,340.61227,5.05427,771.45966
5416.31006,-4.33642,3.67739,119.75024,54.16452,339.60019,5.06272,771.9118
5399.78809,-4.32729,3.67739,119.72863,54.23025,341.66525,5.07701,773.19159
5371.62598,-4.32381,3.67739,119.71465,54.36807,339.95935,5.09358,772.64966
5343.46387,-4.34379,3.67739,119.72815,54.4235,343.46909,5.02557,769.26538
5322.13232,-4.33541,3.67739,119.71252,54.51849,342.71951,5.05539,771.54211
5369.0293,-4.35023,3.67739,119.72707,54.59804,345.05038,5.10592,775.64288
5416.02344,-4.35241,3.67739,119.71902,54.72087,343.56076,5.09463,774.53333
5463.25537,-4.36485,3.67739,119.71097,54.73732,345.14798,5.08942,775.18048
5510.4873,-4.37302,3.67739,119.71247,54.68989,345.41156,5.10315,776.50739
5419.05859,-4.38599,3.67739,119.7154,54.72282,345.12521,5.15172,778.86145
5424.07178,-4.37897,3.67739,119.71664,54.74045,347.00525,5.12975,777.92957
